City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
206,Mathbaria,BD,86.94,few clouds,22.2876,89.9593,Shikdar Hotel
207,Katsuura,JP,61.2,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
211,Bambari,CF,80.51,clear sky,5.768,20.6757,Hotel-Restaurant BIBICH
212,Maracaju,BR,75.74,overcast clouds,-21.6144,-55.1683,Maracaju Plaza Hotel - Hospedagem - Maracaju/MS
214,Sholapur,IN,86.72,clear sky,17.6833,75.9167,STARiHOTELS Nilanagar Solapur
215,Dingle,PH,80.8,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
218,Along,IN,78.26,clear sky,28.1667,94.7667,Hotel West
220,Diamantino,BR,72.52,light rain,-14.4086,-56.4461,Hotel Delta
224,Ulladulla,AU,72.5,moderate rain,-35.35,150.4667,Sandpiper Motel
228,Aracoiaba,BR,75.6,overcast clouds,-4.3711,-38.8142,BECO DA FOFOCA
233,Riachao,BR,71.64,light rain,-7.3619,-46.6172,Pousada Nordestina
235,Buala,SB,82.87,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
236,Trelew,AR,66.42,clear sky,-43.249,-65.3051,Hotel Touring Club
238,Cayenne,GF,81.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
241,Sao Filipe,CV,78.8,few clouds,14.8961,-24.4956,Hotel Xaguate
243,Catamarca,AR,69.58,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
246,Sotouboua,TG,75.24,broken clouds,8.5667,0.9833,Auberge Médina
247,Sungairaya,ID,82.33,light rain,0.7,108.9,Mess P.Milu
251,Hobyo,SO,85.06,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
252,Lompoc,US,61.11,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
253,Lagoa,PT,64.98,overcast clouds,39.05,-27.9833,Casa Das Faias
256,San Policarpo,PH,82.49,overcast clouds,12.1791,125.5072,Agapita M. Nicart
257,Nouadhibou,MR,71.35,overcast clouds,20.931,-17.0347,El Medina
259,Phan Thiet,VN,85.82,overcast clouds,10.9333,108.1,Hotel Saigon-PT
260,Wamba,NG,78.1,few clouds,8.9333,8.6,Roma Zee Guest House Annex
261,Dargaville,NZ,62.31,overcast clouds,-35.9333,173.8833,Parkview Motel
262,Marovoay,MG,84.34,scattered clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
263,Ribas Do Rio Pardo,BR,76.42,overcast clouds,-20.4431,-53.7592,Pousada Avenida
265,Imbituba,BR,67.89,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
266,Mollendo,PE,64.26,overcast clouds,-17.0231,-72.0147,Hostal La Casa de Melgar
267,Caravelas,BR,67.8,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
268,Touros,BR,76.1,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
270,Farafangana,MG,85.71,scattered clouds,-22.8167,47.8333,Miarina
276,Hervey Bay,AU,82.02,moderate rain,-25.2986,152.8535,Shelly Bay Resort
277,Bowen,AU,80.82,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
278,Frankfort,ZA,66.85,clear sky,-27.2667,28.4833,Formule 11 Accomodation
280,Presidencia Roque Saenz Pena,AR,71.51,overcast clouds,-26.7852,-60.4388,Hotel Aconcagua
284,Chaman,PK,66.76,clear sky,30.9236,66.4512,Niamat parda Center chaman
285,Negombo,LK,78.85,light rain,7.2083,79.8358,Hotel Sunset Beach
289,Arlit,NE,79.03,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
292,Trincomalee,LK,81.63,overcast clouds,8.5711,81.2335,Welcombe Hotel
294,Kassala,SD,81.03,clear sky,15.451,36.4,Amassi Hotel Gash
295,Yanam,IN,90.0,broken clouds,16.7333,82.2167,The Regency Hotel
296,The Valley,AI,79.11,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
297,Rawson,AR,63.77,clear sky,-43.3002,-65.1023,Hosteria Sampedro
298,Lorengau,PG,80.46,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
300,General Roca,AR,61.2,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
308,Safaga,EG,69.75,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
309,Veraval,IN,86.25,clear sky,20.9,70.3667,Lords Inn Somnath
310,San Patricio,US,71.44,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
311,Acapulco,MX,76.71,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
313,Kupang,ID,84.78,moderate rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
314,Malakal,SS,86.59,few clouds,9.5334,31.6605,Nile Palace Hotel
317,Tual,ID,84.29,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
319,Codrington,AU,63.28,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
323,Ugoofaaru,MV,81.27,overcast clouds,5.6667,73.0,Ungoofaaru Inn
325,Grand Gaube,MU,82.8,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
326,Santa Fe,AR,70.02,light rain,-31.6333,-60.7,Conquistador Hotel
332,Srivardhan,IN,89.38,broken clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
333,Tateyama,JP,61.11,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
338,Pitimbu,BR,75.79,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
339,Mahanoro,MG,86.23,clear sky,-19.9,48.8,BUNGALOW MAHAMANINA
340,Bardiyah,LY,65.84,overcast clouds,31.7561,25.0865,بورتو بردية
341,Makakilo City,US,75.56,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
344,Pochutla,MX,74.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
345,Sidney,AU,75.34,moderate rain,-33.8679,151.2073,The Grace Sydney
346,Alenquer,BR,75.54,broken clouds,-1.9417,-54.7383,Josilene Castro
350,Bugama,NG,79.45,overcast clouds,4.7341,6.8635,Johnbull polo
351,Zemio,CF,81.05,clear sky,5.0314,25.1361,OCHA Office
355,Bitung,ID,83.25,scattered clouds,1.4451,125.1824,K2 Lembeh
356,Tartagal,AR,68.23,light rain,-22.5164,-63.8013,Almuñecar Hotel
361,Pimenta Bueno,BR,72.1,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
362,Katobu,ID,86.97,broken clouds,-4.9408,122.5276,La Ode Husein
363,Dzaoudzi,YT,85.89,few clouds,-12.7887,45.2699,Le Rocher
364,Kiama,AU,75.38,light rain,-34.6833,150.8667,The Sebel Kiama Harbourside
367,Levin,NZ,62.71,broken clouds,-40.6333,175.275,Levin Kiwi Holiday Park
371,Kaeo,NZ,65.32,light rain,-35.1,173.7833,Bushido Lodge
372,Cabo San Lucas,MX,73.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
373,Barra Do Bugres,BR,72.39,heavy intensity rain,-15.0725,-57.1811,Hotel 4AM Petrofurt
378,Caucaia,BR,81.03,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
379,Pontes E Lacerda,BR,72.64,overcast clouds,-15.2261,-59.3353,Hotel Bressan
380,Puerto Escondido,MX,76.98,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
381,Warri,NG,79.14,few clouds,5.5167,5.75,BON Hotel Delta
